review_id,store,app_name,app_version,rating,text,language,category,sentiment
REV-0001,google_play,InferReview Demo,1.4.1,2,Bildirimler hiç gelmiyor artık,tr,bug,negative
REV-0002,app_store,InferReview Demo,1.3.0,4,A tablet-optimized layout would be nice,en,feature,neutral
REV-0003,google_play,InferReview Demo,1.3.0,2,Fotoğraf yüklerken uygulama çöküyor,tr,bug,negative
REV-0004,google_play,InferReview Demo,1.3.0,1,Dosya eklemeye çalışınca çöküyor,tr,bug,negative
REV-0005,app_store,InferReview Demo,1.3.0,3,Karanlık mod eklenirse harika olur,tr,feature,neutral
REV-0006,google_play,InferReview Demo,1.3.2,3,FIRST!!!,en,spam,neutral
REV-0007,app_store,InferReview Demo,1.4.1,1,Bedava telefon için linke tıkla,tr,spam,neutral
REV-0008,app_store,InferReview Demo,1.3.2,3,Please support multiple accounts,en,feature,neutral
REV-0009,app_store,InferReview Demo,1.3.2,2,Nothing special but it does the job,en,other,neutral
REV-0010,app_store,InferReview Demo,1.4.0,3,Occasional lag but still usable,en,bug,neutral
REV-0011,google_play,InferReview Demo,1.4.0,3,An option to change the font size would help,en,feature,neutral
REV-0012,app_store,InferReview Demo,1.3.2,1,Bedava telefon için linke tıkla,tr,spam,neutral
REV-0013,app_store,InferReview Demo,1.3.2,3,"Minor glitches here and there, nothing major",en,bug,neutral
REV-0014,app_store,InferReview Demo,1.3.0,1,Notifications completely stopped working,en,bug,negative
REV-0015,google_play,InferReview Demo,1.4.1,3,Tablet için uygun bir arayüz ekleyin,tr,feature,neutral
REV-0016,app_store,InferReview Demo,1.4.0,5,"Love it, would be perfect with widgets",en,feature,positive
REV-0017,google_play,InferReview Demo,1.3.0,2,"Black screen after the latest update, unusable",en,bug,negative
REV-0018,app_store,InferReview Demo,1.4.1,3,Would love a home screen widget,en,feature,neutral
REV-0019,app_store,InferReview Demo,1.4.0,5,"Exactly what I needed, works perfectly",en,praise,positive
REV-0020,app_store,InferReview Demo,1.4.1,3,Ucuz takipçi burada indirim var,tr,spam,neutral
REV-0021,app_store,InferReview Demo,1.3.2,4,"Excellente application, tres fluide",other,praise,positive
REV-0022,app_store,InferReview Demo,1.4.1,5,"Exactly what I needed, works perfectly",en,praise,positive
REV-0023,google_play,InferReview Demo,1.4.1,2,Bataryayı çok yiyor ve telefonu ısıtıyor,tr,bug,negative
REV-0024,app_store,InferReview Demo,1.4.0,4,"Love it, would be perfect with widgets",en,feature,positive
REV-0025,google_play,InferReview Demo,1.4.0,5,"Basit ve güvenilir, beş yıldız",tr,praise,positive
REV-0026,google_play,InferReview Demo,1.4.0,2,Fena sayılmaz ama harika da değil,tr,other,neutral
REV-0027,google_play,InferReview Demo,1.3.2,3,Loads slowly but eventually works,en,bug,neutral
REV-0028,app_store,InferReview Demo,1.4.1,3,"Average app, neither good nor bad",en,other,neutral
